year,name,displ,gear,cyl,drv,mpg,class,am,hp
1999,hyundai sonata,2.5,5,6,0,22,midsize,0,245
2008,hyundai sonata,3.3,5,6,0,23.5,midsize,0,171
1999,hyundai tiburon,2,4,4,0,22.5,subcompact,0,350
1999,hyundai tiburon,2,5,4,0,24,subcompact,0,308
2008,hyundai tiburon,2,5,4,0,24,subcompact,0,221
2008,hyundai tiburon,2,4,4,0,23.5,subcompact,0,251
2008,hyundai tiburon,2.7,4,6,0,20.5,subcompact,0,321
2008,hyundai tiburon,2.7,6,6,0,20,subcompact,0,192
2008,hyundai tiburon,2.7,5,6,0,20.5,subcompact,0,220
2008,jeep grand cherokee 4wd,3,5,6,2,19.5,suv,0,299
2008,jeep grand cherokee 4wd,3.7,5,6,2,17,suv,0,319
1999,jeep grand cherokee 4wd,4,4,6,2,17.5,suv,0,386
1999,jeep grand cherokee 4wd,4.7,4,8,2,15.5,suv,0,249
2008,jeep grand cherokee 4wd,4.7,5,8,2,10.5,suv,0,205
2008,jeep grand cherokee 4wd,4.7,5,8,2,16.5,suv,0,326
2008,jeep grand cherokee 4wd,5.7,5,8,2,15.5,suv,0,144
2008,jeep grand cherokee 4wd,6.1,5,8,2,12.5,suv,0,395
1999,land rover range rover,4,4,8,2,13,suv,0,219
2008,land rover range rover,4.2,6,8,2,15,suv,0,389
2008,land rover range rover,4.4,6,8,2,15,suv,0,222
1999,land rover range rover,4.6,4,8,2,13,suv,0,221
1999,lincoln navigator 2wd,5.4,4,8,1,14,suv,0,269
1999,lincoln navigator 2wd,5.4,4,8,1,13.5,suv,0,136
2008,lincoln navigator 2wd,5.4,6,8,1,15,suv,0,195
1999,mercury mountaineer 4wd,4,5,6,2,15.5,suv,0,337
2008,mercury mountaineer 4wd,4,5,6,2,16,suv,0,262
2008,mercury mountaineer 4wd,4.6,6,8,2,16,suv,0,342
1999,mercury mountaineer 4wd,5,4,8,2,15,suv,0,269
1999,nissan altima,2.4,5,4,0,25,compact,0,281
1999,nissan altima,2.4,4,4,0,23,compact,0,132
2008,nissan altima,2.5,4,4,0,27,midsize,0,333
2008,nissan altima,2.5,6,4,0,27.5,midsize,0,178
2008,nissan altima,3.5,6,6,0,23,midsize,0,229
2008,nissan altima,3.5,4,6,0,22.5,midsize,0,172
1999,nissan maxima,3,4,6,0,22,midsize,0,134
1999,nissan maxima,3,5,6,0,22,midsize,0,311
2008,nissan maxima,3.5,4,6,0,22,midsize,0,149
1999,nissan pathfinder 4wd,3.3,4,6,2,15.5,suv,0,277
1999,nissan pathfinder 4wd,3.3,5,6,2,16,suv,0,283
2008,nissan pathfinder 4wd,4,5,6,2,17,suv,0,134
2008,nissan pathfinder 4wd,5.6,5,8,2,15,suv,0,353
1999,pontiac grand prix,3.1,4,6,0,22,midsize,0,357
1999,pontiac grand prix,3.8,4,6,0,21,midsize,0,172
1999,pontiac grand prix,3.8,4,6,0,22,midsize,0,184
2008,pontiac grand prix,3.8,4,6,0,23,midsize,0,277
2008,pontiac grand prix,5.3,4,8,0,20.5,midsize,0,214
1999,subaru forester awd,2.5,5,4,2,21.5,suv,0,179
1999,subaru forester awd,2.5,4,4,2,21,suv,0,220
2008,subaru forester awd,2.5,5,4,2,23.5,suv,0,215
2008,subaru forester awd,2.5,5,4,2,22,suv,0,271
2008,subaru forester awd,2.5,4,4,2,23,suv,0,255
2008,subaru forester awd,2.5,4,4,2,20.5,suv,0,318
1999,subaru impreza awd,2.2,4,4,2,23.5,subcompact,0,322
1999,subaru impreza awd,2.2,5,4,2,22.5,subcompact,0,336
1999,subaru impreza awd,2.5,5,4,2,22.5,subcompact,0,168
1999,subaru impreza awd,2.5,4,4,2,22.5,subcompact,0,299
2008,subaru impreza awd,2.5,4,4,2,22.5,compact,0,374
2008,subaru impreza awd,2.5,4,4,2,23.5,compact,0,232
2008,subaru impreza awd,2.5,5,4,2,22,compact,0,346
2008,subaru impreza awd,2.5,5,4,2,23.5,compact,0,286
1999,toyota 4runner 4wd,2.7,5,4,2,17.5,suv,0,388
1999,toyota 4runner 4wd,2.7,4,4,2,18,suv,0,210
1999,toyota 4runner 4wd,3.4,4,6,2,17,suv,0,267
1999,toyota 4runner 4wd,3.4,5,6,2,16,suv,0,244
2008,toyota 4runner 4wd,4,5,6,2,18,suv,0,188
2008,toyota 4runner 4wd,4.7,5,8,2,15.5,suv,0,327
1999,toyota camry,2.2,5,4,0,25,midsize,0,275
1999,toyota camry,2.2,4,4,0,24,midsize,0,286
2008,toyota camry,2.4,5,4,0,26,midsize,0,328
2008,toyota camry,2.4,5,4,0,26,midsize,0,211
1999,toyota camry,3,4,6,0,22,midsize,0,246
1999,toyota camry,3,5,6,0,22,midsize,0,264
2008,toyota camry,3.5,6,6,0,23.5,midsize,0,275
1999,toyota camry solara,2.2,4,4,0,24,compact,0,387
1999,toyota camry solara,2.2,5,4,0,25,compact,0,305
2008,toyota camry solara,2.4,5,4,0,26,compact,0,305
2008,toyota camry solara,2.4,5,4,0,26.5,compact,0,279
1999,toyota camry solara,3,4,6,0,22,compact,0,232
1999,toyota camry solara,3,5,6,0,22,compact,0,195
2008,toyota camry solara,3.3,5,6,0,22.5,compact,0,352
1999,toyota corolla,1.8,3,4,0,27,compact,1,279
1999,toyota corolla,1.8,4,4,0,28.5,compact,1,393
1999,toyota corolla,1.8,5,4,0,30.5,compact,0,206
2008,toyota corolla,1.8,5,4,0,32.5,compact,0,270
2008,toyota corolla,1.8,4,4,0,30.5,compact,0,133
1999,toyota land cruiser wagon 4wd,4.7,4,8,2,13,suv,0,329
2008,toyota land cruiser wagon 4wd,5.7,6,8,2,15.5,suv,0,137
1999,toyota toyota tacoma 4wd,2.7,5,4,2,17.5,pickup,0,382
1999,toyota toyota tacoma 4wd,2.7,4,4,2,18,pickup,0,199
2008,toyota toyota tacoma 4wd,2.7,5,4,2,19.5,pickup,0,203
1999,toyota toyota tacoma 4wd,3.4,5,6,2,16,pickup,0,365
1999,toyota toyota tacoma 4wd,3.4,4,6,2,17,pickup,0,276
2008,toyota toyota tacoma 4wd,4,6,6,2,16.5,pickup,0,340
2008,toyota toyota tacoma 4wd,4,5,6,2,18,pickup,1,323
1999,volkswagen gti,2,5,4,0,25,compact,1,171
1999,volkswagen gti,2,4,4,0,22.5,compact,1,243
2008,volkswagen gti,2,6,4,0,25,compact,1,380
2008,volkswagen gti,2,6,4,0,25.5,compact,1,386
1999,volkswagen gti,2.8,5,6,0,20.5,compact,1,226
1999,volkswagen jetta,1.9,5,4,0,38.5,compact,0,371
1999,volkswagen jetta,2,5,4,0,25,compact,0,359
1999,volkswagen jetta,2,4,4,0,22.5,compact,0,237
2008,volkswagen jetta,2,6,4,0,25.5,compact,0,301
2008,volkswagen jetta,2,6,4,0,25,compact,0,172
2008,volkswagen jetta,2.5,6,5,0,25,compact,0,297
2008,volkswagen jetta,2.5,5,5,0,25,compact,0,211
1999,volkswagen jetta,2.8,4,6,0,19.5,compact,0,302
1999,volkswagen jetta,2.8,5,6,0,20.5,compact,0,316
1999,volkswagen new beetle,1.9,5,4,0,39.5,subcompact,0,212
1999,volkswagen new beetle,1.9,4,4,0,35,subcompact,0,131
1999,volkswagen new beetle,2,5,4,0,25,subcompact,0,290
1999,volkswagen new beetle,2,4,4,0,22.5,subcompact,0,276
2008,volkswagen new beetle,2.5,5,5,0,24,subcompact,0,290
2008,volkswagen new beetle,2.5,6,5,0,24.5,subcompact,0,294
1999,volkswagen passat,1.8,5,4,0,25,midsize,0,357
1999,volkswagen passat,1.8,5,4,0,23.5,midsize,0,133
2008,volkswagen passat,2,6,4,0,23.5,midsize,0,172
2008,volkswagen passat,2,6,4,0,25,midsize,0,322
1999,volkswagen passat,2.8,5,6,0,21,midsize,0,250
1999,volkswagen passat,2.8,5,6,0,22,midsize,0,359
2008,volkswagen passat,3.6,6,6,0,21.5,midsize,0,305
